digit,top,left
3,607,470
1,443,497
7,530,424
9,795,603
0,709,650
1,449,445
8,782,739
2,568,597
2,566,582
7,532,424
1,446,442
2,555,570
3,608,492
0,705,653
8,783,719
4,602,458
8,783,739
0,681,617
5,640,575
5,639,574
9,794,596
3,608,497
2,565,599
4,601,424
3,606,495
4,602,455
4,598,454
6,625,712
1,443,497
0,710,654
4,601,425
8,780,739
1,445,441
2,559,578
7,529,424
6,626,713
5,638,570
6,624,711
0,705,655
8,778,737
6,627,715
8,781,719
2,563,581
8,781,737
1,449,445
3,607,492
9,791,595
9,792,596
0,687,638
2,565,599
7,528,424
5,641,575
1,449,445
7,527,422
6,624,712
8,778,737
2,566,598
3,610,493
5,640,594
2,555,571
4,602,425
4,601,457
2,567,595
7,529,424
2,554,570
7,532,426
3,606,491
2,559,578
1,448,444
2,569,584
8,777,736
3,605,492
2,555,571
5,640,574
8,782,740
8,782,718
4,603,426
5,639,570
3,606,490
7,532,425
8,778,733
1,447,443
2,567,600
2,565,580
5,640,574
9,798,595
1,448,444
5,641,591
2,555,571
1,446,500
3,608,470
0,705,653
9,794,597
0,687,638
9,800,602
7,532,424
8,782,721
8,777,736
6,628,681
3,608,496
3,605,490
3,607,497
8,776,735
6,623,710
5,640,574
8,783,740
9,794,598
2,559,578
2,556,546
1,448,444
8,780,719
9,796,597
0,686,656
9,793,596
4,601,424
6,625,713
1,448,444
4,594,434
9,795,597
5,639,575
4,602,456
6,625,713
0,709,654
3,606,491
2,554,570
8,783,719
8,782,719
7,529,425
0,706,656
4,594,434
4,602,458
0,683,615
0,689,620
6,624,712
3,608,490
1,447,443
4,601,457
1,448,444
2,555,570
3,607,496
1,449,445
8,779,737
4,602,458
1,448,444
4,601,424
6,624,713
9,801,606
6,623,710
8,778,716
5,643,575
6,622,711
9,793,596
2,555,571
1,448,444
8,780,736
6,625,711
2,566,582
7,531,423
1,449,445
2,554,569
6,626,714
3,605,495
4,603,426
5,641,575
1,448,444
5,643,574
9,799,603
8,780,719
6,626,712
4,602,455
